Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.5,9.1,64,NW,13 7,26 14,1015.5,0.6,2025-10-02
11:00 pm,12.2,9.2,66,NW,11 6,17 9,1015.4,0.6,2025-10-02
10:30 pm,12.2,9.6,67,NW,9 5,13 7,1015.3,0.6,2025-10-02
10:00 pm,12.1,9.1,67,NW,11 6,20 11,1015.0,0.6,2025-10-02
9:30 pm,12.7,10.1,65,W,9 5,20 11,1015.0,0.6,2025-10-02
9:00 pm,12.7,10.6,66,WNW,7 4,11 6,1014.8,0.6,2025-10-02
8:30 pm,12.9,10.4,65,W,9 5,17 9,1014.5,0.6,2025-10-02
8:00 pm,12.8,10.9,70,WNW,7 4,15 8,1014.1,0.6,2025-10-02
7:30 pm,12.3,10.6,77,W,7 4,15 8,1013.8,0.6,2025-10-02
7:00 pm,13.1,9.6,68,WSW,15 8,30 16,1013.1,0.6,2025-10-02
6:30 pm,13.8,11.1,65,W,11 6,20 11,1012.2,0.6,2025-10-02
6:00 pm,14.1,11.0,63,WSW,13 7,26 14,1011.4,0.6,2025-10-02
5:30 pm,14.5,11.8,62,WSW,11 6,22 12,1010.8,0.6,2025-10-02
5:00 pm,14.8,11.8,63,W,13 7,26 14,1010.4,0.6,2025-10-02
4:30 pm,13.7,10.2,72,WNW,17 9,33 18,1009.9,0.6,2025-10-02
4:00 pm,14.5,11.6,65,WSW,13 7,28 15,1009.0,0.4,2025-10-02
3:30 pm,14.8,10.3,56,WNW,19 10,39 21,1008.5,0.4,2025-10-02
3:00 pm,14.2,11.0,61,NW,13 7,30 16,1008.4,0.4,2025-10-02
2:30 pm,13.4,10.8,68,W,11 6,26 14,1008.2,0.4,2025-10-02
2:00 pm,14.2,8.9,53,NW,22 12,37 20,1007.9,0.0,2025-10-02
1:30 pm,13.9,8.9,54,NW,20 11,35 19,1007.7,0.0,2025-10-02
1:00 pm,13.9,9.3,51,WNW,17 9,37 20,1007.6,0.0,2025-10-02
